#time, Yaw[]
19.3862,0
19.4265,0
19.4667,0
19.5064,0
19.5467,0
19.5861,0
19.6262,0
19.6661,0
19.7063,0
19.7468,0
19.7864,0
19.8263,0
19.8667,0
19.9063,0
19.9467,0
19.9861,0
20.0262,0
20.0664,0
20.1063,0
20.1466,0
20.1862,0
20.2264,0
20.2663,0
20.3063,0
20.347,0
20.3864,0
20.4266,0
20.4667,0
20.5063,0
20.5467,0
20.5861,0
20.6263,0
20.6665,0
20.7063,0
20.7467,0
20.7861,0
20.8263,0
20.8668,0
20.9063,0
20.9465,0
20.9862,0
21.0262,0
21.0662,0
21.1063,0
21.1465,0
21.1862,0
21.2261,0
21.2663,0
21.3063,0
21.3468,0
21.3862,0
21.4261,0
21.4666,0
21.5063,0
21.5466,0
21.5866,0
21.6263,0
21.6662,0
21.7064,0
21.7463,0
21.7861,0
21.8261,0
21.8665,0
21.9064,0
21.9466,0
21.9862,0
22.0262,0
22.0662,0
22.1064,0
22.1465,0
22.1862,0
22.2263,0
22.2663,0
22.3064,0
22.3469,0
22.3862,0
22.4262,0
22.4665,0
22.5066,0
22.5464,0
22.5861,0
22.6266,0
22.6663,0
22.7065,0
22.7466,0
22.7862,0
22.8261,0
22.8666,0
22.9066,0
22.9465,0
22.9863,0
23.0263,0
23.0662,0
23.1065,0
23.1465,0
23.186,0
23.2263,0
23.2661,0
23.3063,0
23.3469,0
23.3866,0
23.4262,0
23.4661,0
23.5068,0
23.5464,0
23.5862,0
23.6262,0
23.6664,0
23.7063,0
23.7464,0
23.7861,0
23.8264,0
23.8665,0
23.9063,0
23.9464,0
23.9861,0
24.0265,0
24.0662,0
24.1062,0
24.1464,0
24.1861,0
24.2263,0
24.2662,0
24.3063,0
24.347,0
24.3863,0
24.4262,0
24.4663,0
24.5066,0
24.5466,0
24.586,0
24.6263,0
24.6662,0
24.7065,0
24.7466,0
24.7861,0
24.826,0
24.8667,0
24.9063,0
24.9467,0
24.9861,0
25.0262,0
25.0662,0
25.1063,0
25.1465,0
25.1861,0
25.2261,0
25.2662,0
25.3064,0
25.347,0
25.3866,0
25.4263,0
25.4662,0
25.5063,0
25.5468,0
25.5864,0
25.6266,0
25.6663,0
25.7063,0
25.7466,0
25.7862,0
25.8262,0
25.8665,0
25.9063,0
25.9465,0
25.986,0
26.0262,0
26.0665,0
26.1062,0
26.1465,0
26.1861,0
26.2261,0
26.2663,0
26.3063,0
26.3467,0
26.3866,0
26.4261,0
26.4663,0
26.5063,0
26.5468,0
26.5865,0
26.6265,0
26.6663,0
26.7064,0
26.7467,0
26.7866,0
26.8261,0
26.8663,0
26.9063,0
26.9464,0
26.9866,0
27.0262,0
27.0663,0
27.1063,0
27.1465,0
27.1864,0
27.2262,0
27.2663,0
27.3062,0
27.347,0
27.3866,0
27.4262,0
27.4662,0
27.5065,0
27.5467,0
27.5865,0
27.6266,0
27.6662,0
27.7064,0
27.7464,0
27.7866,0
27.8262,0
27.8663,0
27.9063,0
27.9465,0
27.9861,0
28.0262,0
28.0663,0
28.1065,0
28.1464,0
28.186,0
28.2262,0
28.2661,0
28.3063,0
28.3493,0
28.3864,0
28.4262,0
28.4663,0
28.5062,0
28.5469,0
28.5862,0
28.6264,0
28.6662,0
28.7063,0
28.7466,0
28.7865,0
28.8264,0
28.8664,0
28.9063,0
28.9467,0
28.9863,0
29.0264,0
29.0665,0
29.1063,0
29.1469,0
29.1863,0
29.2264,0
29.2664,0
29.3062,0
29.3473,0
29.3864,0
29.4265,0
29.4663,0
29.5063,0
29.5471,0
29.5861,0
29.6264,0
29.6664,0
29.7062,0
29.7469,0
29.7862,0
29.8265,0
29.8665,0
29.9063,0
29.9467,0
29.9861,0
30.0261,0
30.0664,0
30.1063,0
30.1469,0
30.1862,0
30.2262,0
30.2663,0
30.3063,0
30.3471,0
30.3864,0
30.4261,0
30.4663,0
30.5063,0
30.5469,0
30.5861,0
30.6265,0
30.6665,0
30.7063,0
30.7464,0
30.7862,0
30.8262,0
30.8668,0
30.9062,0
30.9465,0
30.9862,0
31.0261,0
31.0664,0
31.1063,0
31.1463,0
31.1861,0
31.2262,0
31.2665,0
31.3062,0
31.3467,0
31.3864,0
31.4264,0
31.4665,0
31.5062,0
31.5467,0
31.5862,0
31.6265,0
31.6665,0
31.7061,0
31.7464,0
31.7865,0
31.8262,0
31.8667,0
31.9065,0
31.9464,0
31.9864,0
32.0262,0
32.0663,0
32.1063,0
32.1465,0
32.1867,0
32.2262,0
32.2663,0
32.3064,0
32.347,0
32.3867,0
32.4262,0
32.4663,0
32.5062,0
32.547,0
32.5866,0
32.6265,0
32.6663,0
32.7063,0
32.7463,0
32.7866,0
32.8262,0
32.8665,0
32.9065,0
32.9467,0
32.9863,0
33.0263,0
33.0664,0
33.1064,0
33.1465,0
33.1864,0
33.2262,0
33.2665,0
33.3065,0
33.3469,0
33.3868,0
33.4262,0
33.4665,0
33.5065,0
33.5467,0
33.5863,0
33.6264,0
33.6664,0
33.7065,0
33.7465,0
33.7866,0
33.8261,0
33.8665,0
33.9065,0
33.9464,0
33.9862,0
34.0262,0
34.0663,0
34.1063,0
34.1465,0
34.186,0
34.2265,0
34.2663,0
34.3062,0
34.3469,0
34.3864,0
34.4263,0
34.4662,0
34.5062,0
34.5467,0
34.5863,0
34.6264,0
34.6665,0
34.7061,0
34.7463,0
34.7863,0
34.8263,0
34.8664,0
34.9065,0
34.9465,0
34.9862,0
35.0263,0
35.0662,0
35.1062,0
35.1464,0
35.1863,0
35.2262,0
35.2665,0
35.3063,0
35.347,0
35.3862,0
35.4263,0
35.4664,0
35.5063,0
35.5469,0
35.5862,0
35.6262,0
35.6665,0
35.7063,0
35.7465,0
35.7863,0
35.8262,0
35.8665,0
35.9066,0
35.9466,0
35.9865,0
36.0261,0
36.0664,0
36.1062,0
36.1466,0
36.1865,0
36.2262,0
36.2665,0
36.3062,0
36.347,0
36.3865,0
36.4262,0
36.4663,0
36.5062,0
36.5466,0
36.5866,0
36.6263,0
36.6665,0
36.7062,0
36.7464,0
36.7865,0
36.8263,0
36.8666,0
36.9066,0
36.9463,0
36.9865,0
37.0262,0
37.0665,0
37.1062,0
37.1463,0
37.1867,0
37.2262,0
37.2663,0
37.3062,0
37.347,0
37.3866,0
37.4261,0
37.4663,0
37.5063,0
37.5466,0
37.5866,0
37.6262,0
37.6666,0
37.7063,0
37.7465,0
37.7863,0
37.8261,0
37.8665,0
37.9063,0
37.9465,0
37.9865,0
38.0259,0
38.0664,0
38.1062,0
38.1464,0
38.1864,0
38.2261,0
38.2662,0
38.3065,0
38.3492,0
38.3865,0
38.4263,0
38.4664,0
38.5063,0
38.5467,0
38.5863,0
38.6265,0
38.6666,0
38.7063,0
38.7464,0
38.7863,0
38.8266,0
38.8666,0
38.9063,0
38.9464,0
38.9863,0
39.0266,0
39.0664,0
39.1064,0
39.1465,0
39.186,0
39.2266,0
39.2664,0
39.3063,0
39.347,0
39.3865,0
39.4265,0
39.4664,0
39.5064,0
39.5467,0
39.5863,0
39.6265,0
39.6666,0
39.7062,0
39.7465,0
39.7862,0
39.8264,0
39.8662,0
39.9063,0
39.9467,0
39.9864,0
40.0264,0
40.0662,0
40.1062,0
40.1463,0
40.1862,0
40.2265,0
40.2663,0
40.3061,0
40.3468,0
40.3864,0
40.4262,0
40.4663,0
40.5063,0
40.5467,0
40.5862,0
40.6262,0
40.6667,0
40.7063,0
40.7466,0
40.7862,0
40.8261,0
40.8667,0
